CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
30.8,4.0%,41.12,44,"Group Average - MRE 33>Candy II",0,0,.65,11.12,.5,.08,10.0%,235.05,6.36,46.97,32.0%,6.0%,1.94,0,.15,3.33,.03,10.72,1.0%,1.53,MRE33,87.38,35.02,2.0%,154.03,0.0%,4.0%,1.69,17.0%,MENU Groups,.11,4.1,.13,1.0%,.47,6.97,.61,"MRE 33>Candy II"
47.65,82.0%,79.1,819,"Group Average - MRE 33>TFF Dairyshake",0,0,20.3,6.47,5.52,0,16.0%,291.9,5.51,70,28.000000000000004%,8.0%,0,0,0,7.7,0,0,4.0%,1.89,MRE33,346.5,43.4,3.0%,0,0.0%,112.99999999999999%,0,10.0%,MENU Groups,0,10.71,.01,3.0%,2.42,0,1.05,"MRE 33>TFF Dairyshake"
35.58,1.0%,15.23,6.37,"Fruits>Wet Pack>Applesauce>Carbohydrate Enhanced",0,4.59,.16,.13,.58,.06,12.0%,143.36,.01,128,0.0%,6.0%,3.84,0,.15,0,.04,7.68,407.0%,1.56,MRE33,10.14,4.01,1.0%,84.61,0.0%,1.0%,.08,0.0%,MENU Groups,.03,.26,.01,0.0%,244.48,0,.07,"MRE 33>Wet Pack Fruit"
28.29,1.0%,6.4,5.52,"Fruits>Wet Pack>Applesauce>Mango Peach",0,.72,.16,.13,.67,.11,9.0%,115.33,.02,128,0.0%,6.0%,3.84,0,.15,0,.03,10.88,407.0%,1.54,MRE33,6.98,5.36,0.0%,110.59,12.0%,1.0%,.24,0.0%,MENU Groups,.05,.38,.01,0.0%,244.48,591,.07,"MRE 33>Wet Pack Fruit"
26.62,0.0%,6.4,3.99,"Fruits>Wet Pack>Applesauce>Raspberry",0,3.7,.35,.13,.35,.02,9.0%,109.95,.01,128,0.0%,5.0%,3.84,.06,.15,.45,.01,7.68,409.99999999999994%,1.28,MRE33,7.44,3.57,0.0%,81.92,0.0%,2.0%,.1,0.0%,MENU Groups,.03,.77,.01,0.0%,245.76,0,.17,"MRE 33>Wet Pack Fruit"
21.59,0.0%,58.07,.05,"Fruits>Wet Pack>Mixed Fruit",0,,.21,0,0,0,7.000000000000001%,86.16,0,128,0.0%,8.0%,.04,,0,0,0,0,160.0%,1.93,MRE33,14.27,0,2.0%,104.1,,1.0%,.2,0.0%,MENU Groups,0,0,0,0.0%,96.07,,0,"MRE 33>Wet Pack Fruit"
26.11,0.0%,11.75,4.68,"Fruits>Wet Pack>Pears",0,.09,.55,.13,.58,.01,9.0%,107.78,.01,128,0.0%,8.0%,3.84,,.15,0,.01,7.68,131.0%,1.88,MRE33,8.23,4.67,0.0%,70.02,0.0%,3.0%,.04,0.0%,MENU Groups,.03,.77,.01,0.0%,78.46,0,.1,"MRE 33>Wet Pack Fruit"
28.25,0.0%,13.43,4.12,"Group Average - MRE 33>Wet Pack Fruit",0,1.5,.24,.1,.54,.05,9.0%,115.59,.01,128,0.0%,7.000000000000001%,3.84,.03,.15,.09,.02,8.48,314.0%,1.64,MRE33,8.2,3.52,1.0%,86.78,3.0%,1.0%,.09,0.0%,MENU Groups,.03,.44,.01,0.0%,188.4,147.75,.08,"MRE 33>Wet Pack Fruit"
46.98,1.0%,21,7.9,"Dried Fruit>Cranberries",0,3.8,.15,.45,.78,.01,16.0%,191.52,.03,56,0.0%,10.0%,1.68,,.07,0,.01,3.36,1.0%,2.55,MRE33,4.08,3.16,1.0%,31.42,0.0%,1.0%,.07,1.0%,MENU Groups,.01,.34,0,0.0%,.56,0,.06,"MRE 33>Dried Fruit"
34.31,2.0%,9.85,17.24,"Dried Fruit>Raisins",0,.68,.52,.39,.16,.04,11.0%,144.91,.19,43,1.0%,6.0%,1.29,,.05,0,.03,2.58,1.0%,1.57,MRE33,27.91,9.33,0.0%,252.41,0.0%,3.0%,.22,1.0%,MENU Groups,.01,1.33,0,0.0%,.43,0,.26,"MRE 33>Dried Fruit"
40.65,1.0%,15.42,12.57,"Group Average - MRE 33>Dried Fruit",0,2.24,.33,.42,.47,.02,14.000000000000002%,168.22,.11,49.5,1.0%,8.0%,1.49,0,.06,0,.02,2.97,1.0%,2.06,MRE33,15.99,6.25,1.0%,141.91,0.0%,2.0%,.15,1.0%,MENU Groups,.01,.83,0,0.0%,.5,0,.16,"MRE 33>Dried Fruit"
2,,,,"Chewing Gum>Xylitol",0,,,,,,1.0%,,,3.2,,,,,,,,,,,MRE33,,,,,,,,,MENU Groups,,,,,,,,"MRE 33>Accessory Packet A"
1.09,0.0%,2.35,3.42,"Coffee>Soluble>Freeze Dried",0,,.05,.01,.01,0,0.0%,5.8,0,1.7,0.0%,2.0%,.05,,0,0,0,.12,0.0%,.38,MRE33,5.46,6.46,0.0%,57.46,0.0%,0.0%,.69,0.0%,MENU Groups,.01,.36,0,0.0%,.02,0,.01,"MRE 33>Accessory Packet A"
2.08,0.0%,8.5,.5,"Creamer>Non-Dairy>Dry",0,,.02,1.46,0,0,1.0%,21,0,4,0.0%,0.0%,,,0,0,0,0,0.0%,0,MRE33,18,0,0.0%,41,0.0%,0.0%,0,2.0%,MENU Groups,0,.1,.5,0.0%,0,0,0,"MRE 33>Accessory Packet A"
4,0.0%,0,0,Sugar,0,,0,0,0,0,1.0%,15,,4,,,,,,0,0,0,0.0%,,MRE33,0,0,0.0%,0,,0.0%,0,0.0%,MENU Groups,0,0,,0.0%,0,,0,"MRE 33>Accessory Packet A"
2.27,0.0%,4.12,1.14,"Group Average - MRE 33>Accessory Packet A",0,0,.02,.5,0,0,1.0%,13.6,0,3.23,0.0%,1.0%,.05,0,0,0,0,.06,0.0%,.19,MRE33,2.73,3.23,0.0%,28.73,0.0%,0.0%,.35,1.0%,MENU Groups,0,.12,.25,0.0%,.01,0,0,"MRE 33>Accessory Packet A"
2.75,1.0%,23.55,9.57,"Beverage Base>Sugar Free",0,0,.02,.02,.02,0,1.0%,11.3,0,3.2,0.0%,0.0%,.1,0,0,0,0,.19,0.0%,.03,MRE33,4.7,.15,1.0%,64,0.0%,0.0%,0,0.0%,MENU Groups,0,.07,0,0.0%,.04,0,.01,"MRE 33>Accessory Packet B"
2,,,,"Chewing Gum>Xylitol",0,,,,,,1.0%,,,3.2,,,,,,,,,,,MRE33,,,,,,,,,MENU Groups,,,,,,,,"MRE 33>Accessory Packet B"
2.37,1.0%,23.55,9.57,"Group Average - MRE 33>Accessory Packet B",0,0,.02,.02,.02,0,1.0%,11.3,0,3.2,0.0%,0.0%,.1,0,0,0,0,.19,0.0%,.03,MRE33,4.7,.15,1.0%,64,0.0%,0.0%,0,0.0%,MENU Groups,0,.07,0,0.0%,.04,0,.01,"MRE 33>Accessory Packet B"
2,,,,"Chewing Gum>Xylitol",0,,,,,,1.0%,,,3.2,,,,,,,,,,,MRE33,,,,,,,,,MENU Groups,,,,,,,,"MRE 33>Accessory Packet C"
1.09,0.0%,2.35,3.42,"Coffee>Soluble>Freeze Dried",0,,.05,.01,.01,0,0.0%,5.8,0,1.7,0.0%,2.0%,.05,,0,0,0,.12,0.0%,.38,MRE33,5.46,6.46,0.0%,57.46,0.0%,0.0%,.69,0.0%,MENU Groups,.01,.36,0,0.0%,.02,0,.01,"MRE 33>Accessory Packet C"
2.08,0.0%,8.5,.5,"Creamer>Non-Dairy>Dry",0,,.02,1.46,0,0,1.0%,21,0,4,0.0%,0.0%,,,0,0,0,0,0.0%,0,MRE33,18,0,0.0%,41,0.0%,0.0%,0,2.0%,MENU Groups,0,.1,.5,0.0%,0,0,0,"MRE 33>Accessory Packet C"
0,,,,Sucralose,0,,,0,,,0.0%,0,,1,,,,,,0,,,,,MRE33,,,,,,,,0.0%,MENU Groups,,0,,0.0%,,,,"MRE 33>Accessory Packet C"
1.27,0.0%,6.17,1.71,"Group Average - MRE 33>Accessory Packet C",0,0,.03,.5,.01,0,0.0%,8.6,0,2.48,0.0%,1.0%,.05,0,0,0,0,.12,0.0%,.19,MRE33,5.46,6.46,0.0%,57.46,0.0%,0.0%,.69,1.0%,MENU Groups,.01,.12,.25,0.0%,.01,0,.01,"MRE 33>Accessory Packet C"
725.75,0,3493.3,2145.15,,0,9.66,41.83,146.91,33.41,2.03,0,4480.65,52.29,1178.55,0,0,97.47,15.94,4.54,100.15,1.98,586.2,0,31.16,MRE33,2299.75,399.6,0,3006.6,0,0,25.52,0,MENU Groups,3.16,76.62,14.58,0,285.2,2550.72,12.14,Total
