CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
35.58,.01,15.23,6.37,"Fruits>Wet Pack>Applesauce>Carbohydrate Enhanced",0,4.59,.16,.13,.58,.06,.12,143.36,.01,128,0,.06,3.84,0,.15,0,.04,7.68,4.07,1.56,MRE32,10.14,4.01,.01,84.61,0,.01,.08,0,MENU Groups,.03,.26,.01,0,244.48,0,.07,"MRE 32>Wet Pack Fruit"
28.29,.01,6.4,5.52,"Fruits>Wet Pack>Applesauce>Mango Peach",0,.72,.16,.13,.67,.11,.09,115.33,.02,128,0,.06,3.84,0,.15,0,.03,10.88,4.07,1.54,MRE32,6.98,5.36,0,110.59,.12,.01,.24,0,MENU Groups,.05,.38,.01,0,244.48,591,.07,"MRE 32>Wet Pack Fruit"
26.62,0,6.4,3.99,"Fruits>Wet Pack>Applesauce>Raspberry",0,3.7,.35,.13,.35,.02,.09,109.95,.01,128,0,.05,3.84,.06,.15,.45,.01,7.68,4.1,1.28,MRE32,7.44,3.57,0,81.92,0,.02,.1,0,MENU Groups,.03,.77,.01,0,245.76,0,.17,"MRE 32>Wet Pack Fruit"
21.59,0,58.07,.05,"Fruits>Wet Pack>Mixed Fruit",0,,.21,0,0,0,.07,86.16,0,128,0,.08,.04,,0,0,0,0,1.6,1.93,MRE32,14.27,0,.02,104.1,,.01,.2,0,MENU Groups,0,0,0,0,96.07,,0,"MRE 32>Wet Pack Fruit"
26.11,0,11.75,4.68,"Fruits>Wet Pack>Pears",0,.09,.55,.13,.58,.01,.09,107.78,.01,128,0,.08,3.84,,.15,0,.01,7.68,1.31,1.88,MRE32,8.23,4.67,0,70.02,0,.03,.04,0,MENU Groups,.03,.77,.01,0,78.46,0,.1,"MRE 32>Wet Pack Fruit"
28.25,0,13.43,4.12,"Group Average - MRE 32>Wet Pack Fruit",0,1.5,.24,.1,.54,.05,.09,115.59,.01,128,0,.07,3.84,.03,.15,.09,.02,8.48,3.14,1.64,MRE32,8.2,3.52,.01,86.78,.03,.01,.09,0,MENU Groups,.03,.44,.01,0,188.4,147.75,.08,"MRE 32>Wet Pack Fruit"
46.98,.01,21,7.9,"Dried Fruit>Cranberries",0,3.8,.15,.45,.78,.01,.16,191.52,.03,56,0,.1,1.68,,.07,0,.01,3.36,.01,2.55,MRE32,4.08,3.16,.01,31.42,0,.01,.07,.01,MENU Groups,.01,.34,0,0,.56,0,.06,"MRE 32>Dried Fruit"
34.31,.02,9.85,17.24,"Dried Fruit>Raisins",0,.68,.52,.39,.16,.04,.11,144.91,.19,43,.01,.06,1.29,,.05,0,.03,2.58,.01,1.57,MRE32,27.91,9.33,0,252.41,0,.03,.22,.01,MENU Groups,.01,1.33,0,0,.43,0,.26,"MRE 32>Dried Fruit"
40.65,.01,15.42,12.57,"Group Average - MRE 32>Dried Fruit",0,2.24,.33,.42,.47,.02,.14,168.22,.11,49.5,.01,.08,1.49,0,.06,0,.02,2.97,.01,2.06,MRE32,15.99,6.25,.01,141.91,0,.02,.15,.01,MENU Groups,.01,.83,0,0,.5,0,.16,"MRE 32>Dried Fruit"
2,,,,"Chewing Gum>Xylitol",0,,,,,,.01,,,3.2,,,,,,,,,,,MRE32,,,,,,,,,MENU Groups,,,,,,,,"MRE 32>Accessory Packet A"
