CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
4.99,0,257.13,3.15,"Mayonnaise>Fat Free",0,.06,.11,.13,0,.02,21.57,.03,28.35,0,.03,.85,.03,1.42,.01,1.7,0,.75,FSR2008,3.09,1.02,.11,19.02,0,0,.01,0,MENU 2,.01,.14,0,0,.28,0,.02,Condiment
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2008,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 2,.01,.28,0,0,37.08,0,.04,Beverage
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2008,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 2,.01,.28,0,0,37.08,0,.04,Beverage
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2008,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 2,.01,.28,0,0,37.08,0,.04,Beverage
35.58,.01,15.23,6.37,"Fruits>Wet Pack>Applesauce>Carbohydrate Enhanced",0,.16,.13,.58,.06,.12,143.36,.01,128,0,.06,3.84,.15,0,.04,7.68,4.07,1.56,FSR2008,10.14,4.01,.01,84.61,0,.01,.08,0,MENU 2,.03,.26,.01,0,244.48,0,.07,Fruit
428.77,0,4286.89,597.69,,0,15.64,104.9,30.34,4.46,0,3088.25,28.83,1021.95,0,0,110.17,6.23,168.27,2.4,608.63,0,37.13,FSR2008,1642.6,359.13,0,2524.09,0,0,55.48,0,MENU 2,2.68,110.98,9.95,0,442.33,3777.7,13.42,Total
41.3,.08,666,77.2,"Sandwich>Shelf Stable>Honey Barbecue Beef",0,2.36,8.9,.95,.17,.14,285,2.55,100,.13,.1,21.6,.43,40,.21,62.6,.02,2.4,FSR2008,134,29.1,.28,257,.03,.13,4.6,.14,MENU 3,.28,11.3,1.71,.13,1,144.2,1.57,Entree
1.11,.02,493.85,17.68,"Tuna>Albacore",0,.32,.43,.38,.38,0,84.58,.09,85,0,.03,63.92,1.14,35,.08,5.1,.01,.85,FSR2008,184.6,26.52,.21,283.9,0,.02,13.01,.01,MENU 3,.07,19.38,.01,.12,.85,0,.3,Entree
24.94,.02,26.2,21,"First Strike Bar>Mini>Mocha",0,.75,5.06,7.17,.45,.08,150.15,1.99,35,.1,.07,1.17,.83,5.34,.25,103.95,.14,1.67,FSR2008,36.75,15.26,.01,81.03,0,.04,4.01,.08,MENU 3,.41,1.72,.81,.02,8.12,9.15,1.72,Snack
26.99,.01,47.43,10.92,"First Strike Bar>Mini>Cran-Raspberry",0,.34,2.54,6.89,.48,.09,135.98,.64,35,.03,.08,1.63,.76,3.91,.22,109.03,.31,1.9,FSR2008,36.86,14.89,.02,70.88,0,.02,3.8,.04,MENU 3,.4,1.44,.62,.01,18.46,0,2,Snack
17.52,.08,48.8,79.2,"Dessert Bar>Chocolate Banana Nut",0,.97,17.88,1.24,.07,.06,236.8,7.24,40,.36,.33,3.52,.32,23.97,.02,7.12,.01,8.36,FSR2008,138.4,26.8,.02,286.8,.05,.05,.2,.28,MENU 3,.17,3.76,1.36,.08,.4,226.4,.61,Snack
5.51,.02,608.4,15.21,"Beef Snacks>Teriyaki",0,1.23,2.94,.26,.06,.02,78.26,1.33,26,.07,.02,6.94,1.54,20,.03,5.82,0,.54,FSR2008,72.28,12.58,.25,167.44,.01,.07,1.37,.05,MENU 3,.15,7.8,.13,.07,.26,26.9,1.31,Snack
18.42,.04,5.6,43.12,"Nut and Fruit Mix>Sunflower Kernels and Infused Fruit",0,1.07,21.17,3.65,.31,.06,314.72,3.18,56,.16,.42,4.65,.07,0,.08,47.66,.01,10.58,FSR2008,190.96,91.84,0,339.92,0,.06,5.88,.33,MENU 3,.09,12.6,.03,0,.56,0,1.57,Snack
4.91,.01,564.2,13.7,"Beef Snacks>Barbecue",0,1.16,2.78,.33,.05,.02,76.7,1.17,26,.06,.03,6.37,1.53,20,.03,5.36,0,.72,FSR2008,73.06,12.4,.24,173.94,.03,.06,1.38,.04,MENU 3,.15,8.61,.13,.07,.26,131.2,1.29,Snack
33.05,.06,431.52,56.23,Tortillas,0,2.06,8.06,.52,.02,.11,222.58,2.22,62,.11,.04,9.92,.11,0,.24,60.7,.01,1.05,FSR2008,155,12.15,.18,93.62,0,.11,2.93,.12,MENU 3,.2,4.9,2.16,0,.62,0,.31,Bread/Crax
10,,,,"Caffeinated Gum>Cinnamon",0,,,,,.03,50,,12.5,,,,,,,,,,FSR2008,,,,, ,,,,MENU 3,,,,,,,,Candy
4.99,0,257.13,3.15,"Mayonnaise>Fat Free",0,.06,.11,.13,0,.02,21.57,.03,28.35,0,.03,.85,.03,1.42,.01,1.7,0,.75,FSR2008,3.09,1.02,.11,19.02,0,0,.01,0,MENU 3,.01,.14,0,0,.28,0,.02,Condiment
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2008,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 3,.01,.28,0,0,37.08,0,.04,Beverage
42.54,.01,87.89,6.82,"Beverage Base>Ergo>Formulation E",0,.12,.05,.21,0,.14,171.08,0,47,0,.02,1.41,.06,0,.01,2.82,.62,.47,FSR2008,2.87,2.39,.04,4.7,0,.01,.01,0,MENU 3,.01,.28,0,0,37.08,0,.04,Beverage
273.82,0,3324.91,351.05,,0,10.56,69.97,21.94,1.99,0,1998.5,20.44,599.85,0,0,123.39,6.88,149.64,1.19,414.68,0,29.76,FSR2008,1030.74,247.34,0,1782.95,0,0,37.21,0,MENU 3,1.95,72.21,6.96,0,104.97,537.85,10.78,Total
